Eng,Kor
,
Blank,/resources/목표 카드/Objective.webp
,
Imperial,/resources/목표 카드/Imperial.webp
Rebel,/resources/목표 카드/Rebel.webp
Republic,/resources/목표 카드/Republic.webp
Separatist,/resources/목표 카드/Separatist.webp
,
Objective (Assualt),목표 (공격)
Advanced Gunnery,/resources/목표 카드/목표 (공격)/포격 증강.webp
Blockade Run,/resources/목표 카드/목표 (공격)/봉쇄선 돌파.webp
Close-Range Intel Scan,/resources/목표 카드/목표 (공격)/근거리 정보 탐지.webp
Ion Storm,/resources/목표 카드/목표 (공격)/이온 폭풍.webp
Marked for Destruction,/resources/목표 카드/목표 (공격)/파멸의 표식.webp
Most Wanted,/resources/목표 카드/목표 (공격)/지명 수배자.webp
Opening Salvo,/resources/목표 카드/목표 (공격)/개시 사격.webp
Precision Strike,/resources/목표 카드/목표 (공격)/정밀 타격.webp
Rift Assault,/resources/목표 카드/목표 (공격)/균열 공격.webp
Station Assault,/resources/목표 카드/목표 (공격)/우주 정거장 공격.webp
Surprise Attack,/resources/목표 카드/목표 (공격)/기습 공격.webp
Targeting Beacons,/resources/목표 카드/목표 (공격)/조준용 표지.webp
포격 증강,/resources/목표 카드/목표 (공격)/포격 증강.webp
봉쇄선 돌파,/resources/목표 카드/목표 (공격)/봉쇄선 돌파.webp
근거리 정보 탐지,/resources/목표 카드/목표 (공격)/근거리 정보 탐지.webp
이온 폭풍,/resources/목표 카드/목표 (공격)/이온 폭풍.webp
파멸의 표식,/resources/목표 카드/목표 (공격)/파멸의 표식.webp
지명 수배자,/resources/목표 카드/목표 (공격)/지명 수배자.webp
개시 사격,/resources/목표 카드/목표 (공격)/개시 사격.webp
정밀 타격,/resources/목표 카드/목표 (공격)/정밀 타격.webp
균열 공격,/resources/목표 카드/목표 (공격)/균열 공격.webp
우주 정거장 공격,/resources/목표 카드/목표 (공격)/우주 정거장 공격.webp
기습 공격,/resources/목표 카드/목표 (공격)/기습 공격.webp
조준용 표지,/resources/목표 카드/목표 (공격)/조준용 표지.webp
,
Objective (Defense),목표 (방어)
Abandoned Mining Facility,/resources/목표 카드/목표 (수비)/폐광산 시설.webp
Asteroid Tactics,/resources/목표 카드/목표 (수비)/소행성대 전술.webp
Capture the VIP,/resources/목표 카드/목표 (수비)/VIP 생포.webp
Contested Outpost,/resources/목표 카드/목표 (수비)/전초 기지 경쟁.webp
Fighter Ambush,/resources/목표 카드/목표 (수비)/전투기 매복.webp
Fire Lanes,/resources/목표 카드/목표 (수비)/화력 유도.webp
Fleet Ambush,/resources/목표 카드/목표 (수비)/함대 매복.webp
Fleet In Being,/resources/목표 카드/목표 (수비)/현존함대.webp
Hyperspace Assault,/resources/목표 카드/목표 (수비)/초공간 강습.webp
Jamming Barrier,/resources/목표 카드/목표 (수비)/교란 장벽.webp
Planetary Ion Cannon,/resources/목표 카드/목표 (수비)/행성 이온포.webp
Rift Ambush,/resources/목표 카드/목표 (수비)/균열 매복.webp
폐광산 시설,/resources/목표 카드/목표 (수비)/폐광산 시설.webp
소행성대 전술,/resources/목표 카드/목표 (수비)/소행성대 전술.webp
VIP 생포,/resources/목표 카드/목표 (수비)/VIP 생포.webp
전초 기지 경쟁,/resources/목표 카드/목표 (수비)/전초 기지 경쟁.webp
전투기 매복,/resources/목표 카드/목표 (수비)/전투기 매복.webp
화력 유도,/resources/목표 카드/목표 (수비)/화력 유도.webp
함대 매복,/resources/목표 카드/목표 (수비)/함대 매복.webp
현존함대,/resources/목표 카드/목표 (수비)/현존함대.webp
초공간 강습,/resources/목표 카드/목표 (수비)/초공간 강습.webp
교란 장벽,/resources/목표 카드/목표 (수비)/교란 장벽.webp
행성 이온포,/resources/목표 카드/목표 (수비)/행성 이온포.webp
균열 매복,/resources/목표 카드/목표 (수비)/균열 매복.webp
,
Objective (Navigation),목표 (항해)
Dangerous Territory,/resources/목표 카드/목표 (항해)/위험 지역.webp
Doomed Station,/resources/목표 카드/목표 (항해)/저주받은 우주 정거장.webp
Hyperspace Migration,/resources/목표 카드/목표 (항해)/초공간 이주.webp
Infested Fields,/resources/목표 카드/목표 (항해)/들끓는 우주.webp
Intel Sweep,/resources/목표 카드/목표 (항해)/정보 수집.webp
Minefields,/resources/목표 카드/목표 (항해)/기뢰 부설 지역.webp
Navigational Hazards,/resources/목표 카드/목표 (항해)/항행 위협.webp
Salvage Run,/resources/목표 카드/목표 (항해)/구호품 보급.webp
Sensor Net,/resources/목표 카드/목표 (항해)/센서 망.webp
